Time,Temp_C,Vib_Mag_g,X_g,Y_g,Z_g,Sound_dBr
13:08:39,27.125,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-90
13:08:41,27.1875,1.0694639085812165,-0.07421875,-0.2734375,1.03125,-90
13:08:43,27.1875,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-90
13:08:46,27.1875,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-19.494460916817186
13:08:48,27.1875,1.056458293533901,-0.078125,-0.265625,1.01953125,-16.534368973927883
13:08:50,27.1875,1.053978349553787,-0.08203125,-0.26953125,1.015625,-19.445400539936692
13:08:52,27.125,1.0536815225562999,-0.078125,-0.26953125,1.015625,-90
13:08:55,27.1875,1.0536815225562999,-0.078125,-0.26953125,1.015625,-19.445400539936692
13:08:57,27.1875,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-90
13:08:59,27.125,1.0554250893079171,-0.07421875,-0.27734375,1.015625,-90
13:09:01,27.125,1.0482369289333817,-0.08203125,-0.26171875,1.01171875,-90
13:09:03,27.125,1.071544967868387,-0.078125,-0.265625,1.03515625,-90
13:09:06,27.1875,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-19.494460916817186
13:09:08,27.125,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-90
13:09:10,27.25,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-16.534368973927883
13:09:12,27.1875,1.0536815225562999,-0.078125,-0.26953125,1.015625,-90
13:09:15,27.1875,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-90
13:09:17,27.1875,1.0421052136743139,-0.07421875,-0.26953125,1.00390625,-90
13:09:19,27.1875,1.0587450883519485,-0.08203125,-0.2734375,1.01953125,-90
13:09:21,27.1875,1.0567543405769029,-0.08203125,-0.265625,1.01953125,-90
13:09:24,27.1875,1.0622127369023118,-0.078125,-0.2734375,1.0234375,-90
13:09:26,27.1875,1.056458293533901,-0.078125,-0.265625,1.01953125,-90
13:09:28,27.25,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-90
13:09:30,27.1875,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-19.494460916817186
13:09:33,27.1875,1.0536815225562999,-0.078125,-0.26953125,1.015625,-19.494460916817186
13:09:35,27.25,1.0674645618568854,-0.0703125,-0.28125,1.02734375,-19.494460916817186
13:09:37,27.25,1.0489208670588848,-0.078125,-0.265625,1.01171875,-90
13:09:39,27.1875,1.0546875,-0.078125,-0.2734375,1.015625,-90
13:09:42,27.25,1.0622127369023118,-0.078125,-0.2734375,1.0234375,-19.494460916817186
13:09:44,27.25,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-90
13:09:46,27.25,1.0570358693542818,-0.08203125,-0.28125,1.015625,-16.534368973927883
13:09:48,27.25,1.064702164101392,-0.07421875,-0.26953125,1.02734375,-19.494460916817186
13:09:51,27.25,1.0496334344330345,-0.07421875,-0.26953125,1.01171875,-90
13:09:53,27.25,1.0584495981187827,-0.078125,-0.2734375,1.01953125,-19.445400539936692
13:09:55,27.3125,1.0667066884479948,-0.07421875,-0.27734375,1.02734375,-19.445400539936692
13:09:57,27.25,1.053978349553787,-0.08203125,-0.26953125,1.015625,-19.494460916817186
13:09:59,27.25,1.0602285002093887,-0.078125,-0.265625,1.0234375,-90
13:10:02,27.25,1.0554250893079171,-0.07421875,-0.27734375,1.015625,-90
13:10:04,27.25,1.0581684454680997,-0.07421875,-0.2734375,1.01953125,-90
13:10:06,27.3125,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-90
13:10:08,27.25,1.0496334344330345,-0.07421875,-0.26953125,1.01171875,-90
13:10:11,27.3125,1.064981591867026,-0.078125,-0.26953125,1.02734375,-90
13:10:13,27.3125,1.0568987236766705,-0.0703125,-0.26953125,1.01953125,-90
13:10:15,27.3125,1.0536815225562999,-0.078125,-0.26953125,1.015625,-90
13:10:17,27.3125,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-90
13:10:20,27.3125,1.0622127369023118,-0.078125,-0.2734375,1.0234375,-19.494460916817186
13:10:22,27.3125,1.064436998157653,-0.0703125,-0.26953125,1.02734375,-90
13:10:24,27.3125,1.0619325805643514,-0.07421875,-0.2734375,1.0234375,-90
13:10:26,27.3125,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-90
13:10:29,27.3125,1.0609334729305013,-0.07421875,-0.26953125,1.0234375,-90
13:10:31,27.3125,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-19.494460916817186
13:10:33,27.3125,1.0526890789188421,-0.078125,-0.265625,1.015625,-90
13:10:35,27.375,1.0526890789188421,-0.078125,-0.265625,1.015625,-19.494460916817186
